"Structure","P_Level","N_S","N_M","N_L"
"Equal",177,0,0,0
"Small Skewed",177,0,0,0
"Uniform Small",178,0,0,0
"Uniform Medium",178,0,0,0
"Uniform Large",178,0,0,0
"Equal",178,0,0,0
"Small Skewed",178,0,0,0
"Uniform Small",179,0,0,0
"Uniform Medium",179,0,0,0
"Uniform Large",179,0,0,0
"Equal",179,0,0,0
"Small Skewed",179,0,0,0
"Uniform Small",180,0,0,0
"Uniform Medium",180,0,0,0
"Uniform Large",180,0,0,0
"Equal",180,0,0,0
"Small Skewed",180,0,0,0
"Uniform Small",181,0,0,0
"Uniform Medium",181,0,0,0
"Uniform Large",181,0,0,0
"Equal",181,0,0,0
"Small Skewed",181,0,0,0
"Uniform Small",182,0,0,0
"Uniform Medium",182,0,0,0
"Uniform Large",182,0,0,0
"Equal",182,0,0,0
"Small Skewed",182,0,0,0
"Uniform Small",183,0,0,0
"Uniform Medium",183,0,0,0
"Uniform Large",183,0,0,0
"Equal",183,0,0,0
"Small Skewed",183,0,0,0
"Uniform Small",184,0,0,0
"Uniform Medium",184,0,0,0
"Uniform Large",184,0,0,0
"Equal",184,0,0,0
"Small Skewed",184,0,0,0
"Uniform Small",185,0,0,0
"Uniform Medium",185,0,0,0
"Uniform Large",185,0,0,0
"Equal",185,0,0,0
"Small Skewed",185,0,0,0
"Uniform Small",186,0,0,0
"Uniform Medium",186,0,0,0
"Uniform Large",186,0,0,0
"Equal",186,0,0,0
"Small Skewed",186,0,0,0
"Uniform Small",187,0,0,0
"Uniform Medium",187,0,0,0
"Uniform Large",187,0,0,0
"Equal",187,0,0,0
"Small Skewed",187,0,0,0
"Uniform Small",188,0,0,0
"Uniform Medium",188,0,0,0
"Uniform Large",188,0,0,0
"Equal",188,0,0,0
"Small Skewed",188,0,0,0
"Uniform Small",189,0,0,0
"Uniform Medium",189,0,0,0
"Uniform Large",189,0,0,0
"Equal",189,0,0,0
"Small Skewed",189,0,0,0
"Uniform Small",190,0,0,0
"Uniform Medium",190,0,0,0
"Uniform Large",190,0,0,0
"Equal",190,0,0,0
"Small Skewed",190,0,0,0
"Uniform Small",191,0,0,0
"Uniform Medium",191,0,0,0
"Uniform Large",191,0,0,0
"Equal",191,0,0,0
"Small Skewed",191,0,0,0
"Uniform Small",192,0,0,0
"Uniform Medium",192,0,0,0
"Uniform Large",192,0,0,0
"Equal",192,0,0,0
"Small Skewed",192,0,0,0
"Uniform Small",193,0,0,0
"Uniform Medium",193,0,0,0
"Uniform Large",193,0,0,0
"Equal",193,0,0,0
"Small Skewed",193,0,0,0
"Uniform Small",194,0,0,0
"Uniform Medium",194,0,0,0
"Uniform Large",194,0,0,0
"Equal",194,0,0,0
"Small Skewed",194,0,0,0
"Uniform Small",195,0,0,0
"Uniform Medium",195,0,0,0
"Uniform Large",195,0,0,0
"Equal",195,0,0,0
"Small Skewed",195,0,0,0
"Uniform Small",196,0,0,0
"Uniform Medium",196,0,0,0
"Uniform Large",196,0,0,0
"Equal",196,0,0,0
"Small Skewed",196,0,0,0
"Uniform Small",197,0,0,0
"Uniform Medium",197,0,0,0
"Uniform Large",197,0,0,0
"Equal",197,0,0,0
"Small Skewed",197,0,0,0
"Uniform Small",198,0,0,0
"Uniform Medium",198,0,0,0
"Uniform Large",198,0,0,0
"Equal",198,0,0,0
"Small Skewed",198,0,0,0
"Uniform Small",199,0,0,0
"Uniform Medium",199,0,0,0
"Uniform Large",199,0,0,0
"Equal",199,0,0,0
"Small Skewed",199,0,0,0
"Uniform Small",200,0,0,0
"Uniform Medium",200,0,0,0
"Uniform Large",200,0,0,0
"Equal",200,0,0,0
"Small Skewed",200,0,0,0
"Uniform Small",201,0,0,0
"Uniform Medium",201,0,0,0
"Uniform Large",201,0,0,0
"Equal",201,0,0,0
"Small Skewed",201,0,0,0
"Uniform Small",202,0,0,0
"Uniform Medium",202,0,0,0
"Uniform Large",202,0,0,0
"Equal",202,0,0,0
"Small Skewed",202,0,0,0
"Uniform Small",203,0,0,0
"Uniform Medium",203,0,0,0
"Uniform Large",203,0,0,0
"Equal",203,0,0,0
"Small Skewed",203,0,0,0
"Uniform Small",204,0,0,0
"Uniform Medium",204,0,0,0
"Uniform Large",204,0,0,0
"Equal",204,0,0,0
"Small Skewed",204,0,0,0
"Uniform Small",205,0,0,0
"Uniform Medium",205,0,0,0
"Uniform Large",205,0,0,0
"Equal",205,0,0,0
"Small Skewed",205,0,0,0
"Uniform Small",206,0,0,0
"Uniform Medium",206,0,0,0
"Uniform Large",206,0,0,0
"Equal",206,0,0,0
"Small Skewed",206,0,0,0
"Uniform Small",207,0,0,0
"Uniform Medium",207,0,0,0
"Uniform Large",207,0,0,0
"Equal",207,0,0,0
"Small Skewed",207,0,0,0
"Uniform Small",208,0,0,0
"Uniform Medium",208,0,0,0
"Uniform Large",208,0,0,0
"Equal",208,0,0,0
"Small Skewed",208,0,0,0
"Uniform Small",209,0,0,0
"Uniform Medium",209,0,0,0
"Uniform Large",209,0,0,0
"Equal",209,0,0,0
"Small Skewed",209,0,0,0
"Uniform Small",210,0,0,0
"Uniform Medium",210,0,0,0
"Uniform Large",210,0,0,0
"Equal",210,0,0,0
"Small Skewed",210,0,0,0
"Uniform Small",211,0,0,0
"Uniform Medium",211,0,0,0
"Uniform Large",211,0,0,0
"Equal",211,0,0,0
"Small Skewed",211,0,0,0
"Uniform Small",212,0,0,0
"Uniform Medium",212,0,0,0
"Uniform Large",212,0,0,0
"Equal",212,0,0,0
"Small Skewed",212,0,0,0
"Uniform Small",213,0,0,0
"Uniform Medium",213,0,0,0
"Uniform Large",213,0,0,0
"Equal",213,0,0,0
"Small Skewed",213,0,0,0
"Uniform Small",214,0,0,0
"Uniform Medium",214,0,0,0
"Uniform Large",214,0,0,0
"Equal",214,0,0,0
"Small Skewed",214,0,0,0
"Uniform Small",215,0,0,0
"Uniform Medium",215,0,0,0
"Uniform Large",215,0,0,0
"Equal",215,0,0,0
"Small Skewed",215,0,0,0
"Uniform Small",216,0,0,0
"Uniform Medium",216,0,0,0
"Uniform Large",216,0,0,0
"Equal",216,0,0,0
"Small Skewed",216,0,0,0
"Uniform Small",217,0,0,0
"Uniform Medium",217,0,0,0
"Uniform Large",217,0,0,0
"Equal",217,0,0,0
"Small Skewed",217,0,0,0
"Uniform Small",218,0,0,0
"Uniform Medium",218,0,0,0
"Uniform Large",218,0,0,0
"Equal",218,0,0,0
"Small Skewed",218,0,0,0
"Uniform Small",219,0,0,0
"Uniform Medium",219,0,0,0
"Uniform Large",219,0,0,0
"Equal",219,0,0,0
"Small Skewed",219,0,0,0
"Uniform Small",220,0,0,0
"Uniform Medium",220,0,0,0
"Uniform Large",220,0,0,0
"Equal",220,0,0,0
"Small Skewed",220,0,0,0
"Uniform Small",221,0,0,0
"Uniform Medium",221,0,0,0
"Uniform Large",221,0,0,0
"Equal",221,0,0,0
"Small Skewed",221,0,0,0
"Uniform Small",222,0,0,0
"Uniform Medium",222,0,0,0
"Uniform Large",222,0,0,0
"Equal",222,0,0,0
"Small Skewed",222,0,0,0
"Uniform Small",223,0,0,0
"Uniform Medium",223,0,0,0
"Uniform Large",223,0,0,0
"Equal",223,0,0,0
"Small Skewed",223,0,0,0
"Uniform Small",224,0,0,0
"Uniform Medium",224,0,0,0
"Uniform Large",224,0,0,0
"Equal",224,0,0,0
"Small Skewed",224,0,0,0
"Uniform Small",225,0,0,0
"Uniform Medium",225,0,0,0
"Uniform Large",225,0,0,0
"Equal",225,0,0,0
"Small Skewed",225,0,0,0
"Uniform Small",226,0,0,0
"Uniform Medium",226,0,0,0
"Uniform Large",226,0,0,0
"Equal",226,0,0,0
"Small Skewed",226,0,0,0
"Uniform Small",227,0,0,0
"Uniform Medium",227,0,0,0
"Uniform Large",227,0,0,0
"Equal",227,0,0,0
"Small Skewed",227,0,0,0
"Uniform Small",228,0,0,0
"Uniform Medium",228,0,0,0
"Uniform Large",228,0,0,0
"Equal",228,0,0,0
"Small Skewed",228,0,0,0
"Uniform Small",229,0,0,0
"Uniform Medium",229,0,0,0
"Uniform Large",229,0,0,0
"Equal",229,0,0,0
"Small Skewed",229,0,0,0
"Uniform Small",230,0,0,0
"Uniform Medium",230,0,0,0
"Uniform Large",230,0,0,0
"Equal",230,0,0,0
"Small Skewed",230,0,0,0
"Uniform Small",231,0,0,0
"Uniform Medium",231,0,0,0
"Uniform Large",231,0,0,0
"Equal",231,0,0,0
"Small Skewed",231,0,0,0
"Uniform Small",232,0,0,0
"Uniform Medium",232,0,0,0
"Uniform Large",232,0,0,0
"Equal",232,0,0,0
"Small Skewed",232,0,0,0
"Uniform Small",233,0,0,0
"Uniform Medium",233,0,0,0
"Uniform Large",233,0,0,0
"Equal",233,0,0,0
"Small Skewed",233,0,0,0
"Uniform Small",234,0,0,0
"Uniform Medium",234,0,0,0
"Uniform Large",234,0,0,0
"Equal",234,0,0,0
"Small Skewed",234,0,0,0
"Uniform Small",235,0,0,0
"Uniform Medium",235,0,0,0
"Uniform Large",235,0,0,0
"Equal",235,0,0,0
"Small Skewed",235,0,0,0
"Uniform Small",236,0,0,0
"Uniform Medium",236,0,0,0
"Uniform Large",236,0,0,0
"Equal",236,0,0,0
"Small Skewed",236,0,0,0
"Uniform Small",237,0,0,0
"Uniform Medium",237,0,0,0
"Uniform Large",237,0,0,0
"Equal",237,0,0,0
"Small Skewed",237,0,0,0
"Uniform Small",238,0,0,0
"Uniform Medium",238,0,0,0
"Uniform Large",238,0,0,0
"Equal",238,0,0,0
"Small Skewed",238,0,0,0
"Uniform Small",239,0,0,0
"Uniform Medium",239,0,0,0
"Uniform Large",239,0,0,0
"Equal",239,0,0,0
"Small Skewed",239,0,0,0
"Uniform Small",240,0,0,0
"Uniform Medium",240,0,0,0
"Uniform Large",240,0,0,0
"Equal",240,0,0,0
"Small Skewed",240,0,0,0
"Uniform Small",241,0,0,0
"Uniform Medium",241,0,0,0
"Uniform Large",241,0,0,0
"Equal",241,0,0,0
"Small Skewed",241,0,0,0
"Uniform Small",242,0,0,0
"Uniform Medium",242,0,0,0
"Uniform Large",242,0,0,0
"Equal",242,0,0,0
"Small Skewed",242,0,0,0
"Uniform Small",243,0,0,0
"Uniform Medium",243,0,0,0
"Uniform Large",243,0,0,0
"Equal",243,0,0,0
"Small Skewed",243,0,0,0
"Uniform Small",244,0,0,0
"Uniform Medium",244,0,0,0
"Uniform Large",244,0,0,0
"Equal",244,0,0,0
"Small Skewed",244,0,0,0
"Uniform Small",245,0,0,0
"Uniform Medium",245,0,0,0
"Uniform Large",245,0,0,0
"Equal",245,0,0,0
"Small Skewed",245,0,0,0
"Uniform Small",246,0,0,0
"Uniform Medium",246,0,0,0
"Uniform Large",246,0,0,0
"Equal",246,0,0,0
"Small Skewed",246,0,0,0
"Uniform Small",247,0,0,0
"Uniform Medium",247,0,0,0
"Uniform Large",247,0,0,0
"Equal",247,0,0,0
"Small Skewed",247,0,0,0
"Uniform Small",248,0,0,0
"Uniform Medium",248,0,0,0
"Uniform Large",248,0,0,0
"Equal",248,0,0,0
"Small Skewed",248,0,0,0
"Uniform Small",249,0,0,0
"Uniform Medium",249,0,0,0
"Uniform Large",249,0,0,0
"Equal",249,0,0,0
"Small Skewed",249,0,0,0
"Uniform Small",250,0,0,0
"Uniform Medium",250,0,0,0
"Uniform Large",250,0,0,0
"Equal",250,0,0,0
"Small Skewed",250,0,0,0
"Uniform Small",251,0,0,0
"Uniform Medium",251,0,0,0
"Uniform Large",251,0,0,0
"Equal",251,0,0,0
"Small Skewed",251,0,0,0
"Uniform Small",252,0,0,0
"Uniform Medium",252,0,0,0
"Uniform Large",252,0,0,0
"Equal",252,0,0,0
"Small Skewed",252,0,0,0
"Uniform Small",253,0,0,0
"Uniform Medium",253,0,0,0
"Uniform Large",253,0,0,0
"Equal",253,0,0,0
"Small Skewed",253,0,0,0
"Uniform Small",254,0,0,0
"Uniform Medium",254,0,0,0
"Uniform Large",254,0,0,0
"Equal",254,0,0,0
"Small Skewed",254,0,0,0
"Uniform Small",255,0,0,0
"Uniform Medium",255,0,0,0
"Uniform Large",255,0,0,0
"Equal",255,0,0,0
"Small Skewed",255,0,0,0
"Uniform Small",256,0,0,0
"Uniform Medium",256,0,0,0
"Uniform Large",256,0,0,0
"Equal",256,0,0,0
"Small Skewed",256,0,0,0
"Uniform Small",257,0,0,0
"Uniform Medium",257,0,0,0
"Uniform Large",257,0,0,0
"Equal",257,0,0,0
"Small Skewed",257,0,0,0
"Uniform Small",258,0,0,0
"Uniform Medium",258,0,0,0
"Uniform Large",258,0,0,0
"Equal",258,0,0,0
"Small Skewed",258,0,0,0
"Uniform Small",259,0,0,0
"Uniform Medium",259,0,0,0
"Uniform Large",259,0,0,0
"Equal",259,0,0,0
"Small Skewed",259,0,0,0
"Uniform Small",260,0,0,0
"Uniform Medium",260,0,0,0
"Uniform Large",260,0,0,0
"Equal",260,0,0,0
"Small Skewed",260,0,0,0
"Uniform Small",261,0,0,0
"Uniform Medium",261,0,0,0
"Uniform Large",261,0,0,0
"Equal",261,0,0,0
"Small Skewed",261,0,0,0
"Uniform Small",262,0,0,0
"Uniform Medium",262,0,0,0
"Uniform Large",262,0,0,0
"Equal",262,0,0,0
"Small Skewed",262,0,0,0
"Uniform Small",263,0,0,0
"Uniform Medium",263,0,0,0
"Uniform Large",263,0,0,0
"Equal",263,0,0,0
"Small Skewed",263,0,0,0
"Uniform Small",264,0,0,0
"Uniform Medium",264,0,0,0
"Uniform Large",264,0,0,0
"Equal",264,0,0,0
"Small Skewed",264,0,0,0
"Uniform Small",265,0,0,0
"Uniform Medium",265,0,0,0
"Uniform Large",265,0,0,0
"Equal",265,0,0,0
"Small Skewed",265,0,0,0
"Uniform Small",266,0,0,0
"Uniform Medium",266,0,0,0
"Uniform Large",266,0,0,0
"Equal",266,0,0,0
"Small Skewed",266,0,0,0
"Uniform Small",267,0,0,0
"Uniform Medium",267,0,0,0
"Uniform Large",267,0,0,0
"Equal",267,0,0,0
"Small Skewed",267,0,0,0
"Uniform Small",268,0,0,0
"Uniform Medium",268,0,0,0
"Uniform Large",268,0,0,0
"Equal",268,0,0,0
"Small Skewed",268,0,0,0
"Uniform Small",269,0,0,0
"Uniform Medium",269,0,0,0
"Uniform Large",269,0,0,0
"Equal",269,0,0,0
"Small Skewed",269,0,0,0
"Uniform Small",270,0,0,0
"Uniform Medium",270,0,0,0
"Uniform Large",270,0,0,0
"Equal",270,0,0,0
"Small Skewed",270,0,0,0
"Uniform Small",271,0,0,0
"Uniform Medium",271,0,0,0
"Uniform Large",271,0,0,0
"Equal",271,0,0,0
"Small Skewed",271,0,0,0
"Uniform Small",272,0,0,0
"Uniform Medium",272,0,0,0
"Uniform Large",272,0,0,0
"Equal",272,0,0,0
"Small Skewed",272,0,0,0
"Uniform Small",273,0,0,0
"Uniform Medium",273,0,0,0
"Uniform Large",273,0,0,0
"Equal",273,0,0,0
"Small Skewed",273,0,0,0
"Uniform Small",274,0,0,0
"Uniform Medium",274,0,0,0
"Uniform Large",274,0,0,0
"Equal",274,0,0,0
"Small Skewed",274,0,0,0
"Uniform Small",275,0,0,0
"Uniform Medium",275,0,0,0
"Uniform Large",275,0,0,0
"Equal",275,0,0,0
"Small Skewed",275,0,0,0
"Uniform Small",276,0,0,0
"Uniform Medium",276,0,0,0
"Uniform Large",276,0,0,0
"Equal",276,0,0,0
"Small Skewed",276,0,0,0
"Uniform Small",277,0,0,0
"Uniform Medium",277,0,0,0
"Uniform Large",277,0,0,0
"Equal",277,0,0,0
"Small Skewed",277,0,0,0
"Uniform Small",278,0,0,0
"Uniform Medium",278,0,0,0
"Uniform Large",278,0,0,0
"Equal",278,0,0,0
"Small Skewed",278,0,0,0
"Uniform Small",279,0,0,0
"Uniform Medium",279,0,0,0
"Uniform Large",279,0,0,0
"Equal",279,0,0,0
"Small Skewed",279,0,0,0
"Uniform Small",280,0,0,0
"Uniform Medium",280,0,0,0
"Uniform Large",280,0,0,0
"Equal",280,0,0,0
"Small Skewed",280,0,0,0
"Uniform Small",281,0,0,0
"Uniform Medium",281,0,0,0
"Uniform Large",281,0,0,0
"Equal",281,0,0,0
"Small Skewed",281,0,0,0
"Uniform Small",282,0,0,0
"Uniform Medium",282,0,0,0
"Uniform Large",282,0,0,0
"Equal",282,0,0,0
"Small Skewed",282,0,0,0
"Uniform Small",283,0,0,0
"Uniform Medium",283,0,0,0
"Uniform Large",283,0,0,0
"Equal",283,0,0,0
"Small Skewed",283,0,0,0
