"Structure","P_Level","N_S","N_M","N_L"
"Equal",40,0,0,0
"Small Skewed",40,0,0,0
"Uniform Small",41,0,0,0
"Uniform Medium",41,0,0,0
"Uniform Large",41,0,0,0
"Equal",41,0,0,0
"Small Skewed",41,0,0,0
"Uniform Small",42,0,0,0
"Uniform Medium",42,0,0,0
"Uniform Large",42,0,0,0
"Equal",42,0,0,0
"Small Skewed",42,0,0,0
"Uniform Small",43,0,0,0
"Uniform Medium",43,0,0,0
"Uniform Large",43,0,0,0
"Equal",43,0,0,0
"Small Skewed",43,0,0,0
"Uniform Small",44,0,0,0
"Uniform Medium",44,0,0,0
"Uniform Large",44,0,0,0
"Equal",44,0,0,0
"Small Skewed",44,0,0,0
"Uniform Small",45,0,0,0
"Uniform Medium",45,0,0,0
"Uniform Large",45,0,0,0
"Equal",45,0,0,0
"Small Skewed",45,0,0,0
"Uniform Small",46,0,0,0
"Uniform Medium",46,0,0,0
"Uniform Large",46,0,0,0
"Equal",46,0,0,0
"Small Skewed",46,0,0,0
"Uniform Small",47,0,0,0
"Uniform Medium",47,0,0,0
"Uniform Large",47,0,0,0
"Equal",47,0,0,0
"Small Skewed",47,0,0,0
"Uniform Small",48,0,0,0
"Uniform Medium",48,0,0,0
"Uniform Large",48,0,0,0
"Equal",48,0,0,0
"Small Skewed",48,0,0,0
"Uniform Small",49,0,0,0
"Uniform Medium",49,0,0,0
"Uniform Large",49,0,0,0
"Equal",49,0,0,0
"Small Skewed",49,0,0,0
"Uniform Small",50,0,0,0
"Uniform Medium",50,0,0,0
"Uniform Large",50,0,0,0
"Equal",50,0,0,0
"Small Skewed",50,0,0,0
"Uniform Small",51,0,0,0
"Uniform Medium",51,0,0,0
"Uniform Large",51,0,0,0
"Equal",51,0,0,0
"Small Skewed",51,0,0,0
"Uniform Small",52,0,0,0
"Uniform Medium",52,0,0,0
"Uniform Large",52,0,0,0
"Equal",52,0,0,0
"Small Skewed",52,0,0,0
"Uniform Small",53,0,0,0
"Uniform Medium",53,0,0,0
"Uniform Large",53,0,0,0
"Equal",53,0,0,0
"Small Skewed",53,0,0,0
"Uniform Small",54,0,0,0
"Uniform Medium",54,0,0,0
"Uniform Large",54,0,0,0
"Equal",54,0,0,0
"Small Skewed",54,0,0,0
"Uniform Small",55,0,0,0
"Uniform Medium",55,0,0,0
"Uniform Large",55,0,0,0
"Equal",55,0,0,0
"Small Skewed",55,0,0,0
"Uniform Small",56,0,0,0
"Uniform Medium",56,0,0,0
"Uniform Large",56,0,0,0
"Equal",56,0,0,0
"Small Skewed",56,0,0,0
"Uniform Small",57,0,0,0
"Uniform Medium",57,0,0,0
"Uniform Large",57,0,0,0
"Equal",57,0,0,0
"Small Skewed",57,0,0,0
"Uniform Small",58,0,0,0
"Uniform Medium",58,0,0,0
"Uniform Large",58,0,0,0
"Equal",58,0,0,0
"Small Skewed",58,0,0,0
"Uniform Small",59,0,0,0
"Uniform Medium",59,0,0,0
"Uniform Large",59,0,0,0
"Equal",59,0,0,0
"Small Skewed",59,0,0,0
"Uniform Small",60,0,0,0
"Uniform Medium",60,0,0,0
"Uniform Large",60,0,0,0
"Equal",60,0,0,0
"Small Skewed",60,0,0,0
"Uniform Small",61,0,0,0
"Uniform Medium",61,0,0,0
"Uniform Large",61,0,0,0
"Equal",61,0,0,0
"Small Skewed",61,0,0,0
"Uniform Small",62,0,0,0
"Uniform Medium",62,0,0,0
"Uniform Large",62,0,0,0
"Equal",62,0,0,0
"Small Skewed",62,0,0,0
"Uniform Small",63,0,0,0
"Uniform Medium",63,0,0,0
"Uniform Large",63,0,0,0
"Equal",63,0,0,0
"Small Skewed",63,0,0,0
"Uniform Small",64,0,0,0
"Uniform Medium",64,0,0,0
"Uniform Large",64,0,0,0
"Equal",64,0,0,0
"Small Skewed",64,0,0,0
"Uniform Small",65,0,0,0
