SnailID,Size,Infected,Miracidia
6MP10.17,7.741,0,6
6MP10.18,6.044,1,6
6MP10.19,9.408,1,6
6MP10.20,9.827,0,6
6MP10.21,11.327,0,6
6MP10.22,12.584,0,6
6MP10.23,12.637,0,6
6MP10.24,11.449,1,6
2MP11.1,13.255,0,2
2MP11.2,13.084,0,2
2MP11.3,12.04,0,2
2MP11.4,11.098,0,2
2MP11.5,13.193,1,2
2MP11.6,13.257,0,2
2MP11.7,11.894,0,2
2MP11.8,11.755,1,2
2MP11.9,12.326,0,2
2MP11.10,11.248,0,2
6MP12.1,11.734,0,6
6MP12.2,12.361,0,6
6MP12.3,12.225,1,6
6MP12.4,11.067,0,6
6MP12.5,12.087,0,6
6MP12.6,12.498,1,6
6MP12.7,11.443,1,6
6MP12.8,13.79,1,6
6MP12.9,12.689,0,6
6MP12.10,12.508,0,6
